,Company Name,Reviews,Rating,Salaries,Interviews,Jobs,Benifits
98,DMart,6k,3.9,18.4k,548,214,470
99,Piramal Finance,6k,4.2,11.7k,293,9,445
100,HSBC Group,5.9k,3.9,43.5k,546,127,1.1k
101,Indiamart Intermesh,5.9k,3.5,20.8k,748,437,432
102,PolicyBazaar,5.9k,3.8,17.4k,628,665,231
103,SMFG India Credit,5.8k,3.9,11.1k,208,103,348
104,Access Healthcare,5.8k,3.7,28.7k,397,1.4k,347
105,Aurobindo Pharma,5.7k,4.0,20.6k,289,33,468
106,BigBasket,5.7k,3.9,19.2k,481,98,381
107,Siemens,5.7k,3.9,33.9k,506,59,632
108,Udaan,5.7k,3.9,15.6k,373,12,755
109,GlobalLogic,5.7k,3.5,40.9k,679,36,515
110,Manappuram Finance,5.7k,3.9,9.5k,222,7,260
111,Firstsource Solutions,5.7k,3.5,24.5k,362,155,570
112,ICICI Lombard General Insurance Company,5.6k,3.5,20.5k,356,195,366
113,Tata Capital,5.6k,4.0,16.2k,269,4.5k,257
114,Shapoorji Pallonji Group,5.6k,4.1,15.2k,425,80,632
115,Standard Chartered,5.6k,3.6,42k,322,--,305
116,UST,5.6k,3.7,39.8k,590,200,408
117,Apollo Hospitals,5.6k,4.1,16.7k,481,187,507
118,Mahindra Finance,5.6k,3.9,12.1k,219,584,507
119,Bosch Global Software Technologies,5.5k,3.7,40.4k,390,29,625
120,Ashok Leyland,5.5k,4.0,19k,323,2,642
121,Swiggy,5.5k,3.7,23.2k,568,189,339
122,Citicorp,5.4k,3.7,53.1k,626,--,517
123,Hero MotoCorp,5.4k,4.1,15.9k,407,1,584
124,CGI Group,5.3k,4.0,46k,558,947,354
125,Cyient,5.3k,3.6,27.7k,331,90,466
126,SBI Cards & Payment Services,5.2k,3.6,16.1k,304,66,344
127,BNY,5.2k,3.6,31.2k,399,7,528
128,Kalpataru Projects International,5.2k,4.2,13.8k,330,3,203
129,IQVIA,5.1k,3.7,30.8k,550,35,524
130,JustDial,5.1k,3.5,15.3k,393,61,372
131,NTT DATA,5.1k,3.8,36.1k,747,153,156
132,Nagarjuna Construction Company,5.1k,4.0,12.4k,439,12,408
133,SBI Life Insurance Company,5k,3.7,11.9k,308,12,327
134,Schneider Electric,5k,4.1,24.8k,455,34,436
135,CBRE,5k,4.1,18.8k,348,24,443
136,TVS Motor,5k,3.9,16k,399,69,537
137,Persistent Systems,5k,3.6,45.2k,709,391,369
138,State Bank of India,4.9k,3.8,11.7k,309,10,400
139,vivo,4.9k,4.1,13k,237,6,643
140,Atos,4.9k,3.8,33.9k,408,117,456
141,Ecom Express,4.8k,4.0,9.7k,263,--,323
142,KEC International,4.8k,4.0,13.4k,419,6,441
143,Amdocs,4.8k,3.6,37.2k,561,12,614
144,Eviden,4.8k,3.6,27.8k,316,1,1
145,JBM Group,4.8k,3.9,14k,348,72,342
146,ITC Infotech,4.7k,3.8,29.6k,414,91,281
147,Varun Beverages,4.7k,4.0,12.4k,348,43,321
148,Nagarro,4.7k,3.9,32.9k,835,376,1.1k
149,Bosch,4.6k,4.1,21k,382,--,599
150,Randstad,4.6k,3.7,16.6k,328,7,342
151,EY Global Delivery Services ( EY GDS),4.6k,3.5,49.9k,886,9,264
